Date,Bitcoin,ISG,IFG,DFG,DSG,UFE,SP500,NASDAQ,SH300,N225,FTSE,GDAXI,FCHI,HSI,USDX,UYE,EUE,UJE,GUE,UDE,CNH
2017/10/13,4.408772989,2.502163606,2.478528603,1.604346894,1.655958105,2.051547736,0.915522085,0.915272305,1.678467663,2.718651167,1.677506243,1.855004396,1.743568261,1.598716081,1.802833247,1.121485771,1.914939449,1.849148084,2.028027809,1.832827084,1.508902212
2017/10/16,3.851425787,2.664652322,2.641546132,1.856046861,2.139055888,1.524271901,1.120785138,1.485367575,2.298538198,2.150533822,1.52761389,0.832729737,1.637504862,1.926446359,1.245593381,1.268954866,1.307412416,1.881164844,2.006845233,2.110970801,1.265127549
2017/10/17,4.200821988,2.621404161,2.603969726,2.135813489,2.25331481,1.968615933,0.812442268,0.981411254,1.957539841,2.174172502,1.906388395,1.778646559,1.830679766,1.687673462,1.748361894,1.892572991,1.799677638,1.503972404,2.43900432,1.938781303,1.825849322
2017/10/18,4.570789871,2.418783792,2.388843162,1.260860828,2.274241304,1.965960549,0.687834283,1.336823546,2.157007672,1.520105686,1.783629682,2.078291121,1.998213686,1.383004688,1.695603181,1.413660718,1.976609329,2.238551256,1.734182899,1.93004746,1.76312846
2017/10/19,3.771219893,2.542372171,2.60831766,1.649058859,1.743303817,2.227396671,1.869822702,2.098632289,1.783326221,1.879266385,2.172057555,2.450249775,2.008793608,3.347064453,1.823843459,1.433141545,2.168538811,2.169955296,2.080865297,1.421062277,1.779649648
2017/10/20,4.443484005,2.525512242,2.496389652,1.519323524,2.114125085,2.419388644,1.257764224,1.085761313,1.703845405,1.910865216,1.87839931,2.24644239,1.628251599,2.119118638,2.102658553,1.127497001,2.222818241,2.371464374,2.289315481,2.644930387,1.343974718
2017/10/23,4.200651556,2.339731699,2.298680512,1.650510111,2.071130674,1.761869667,1.82970798,2.350462678,1.518018445,1.754215059,1.528279799,2.135369783,2.169484103,2.509955001,1.414822651,0.855681614,1.64423764,2.138031852,1.763122819,1.429938405,1.318607161
2017/10/24,4.461353179,2.266398294,2.242406648,2.015427413,2.306204049,2.151988386,1.081525116,1.647164435,2.390000225,2.12612732,1.405524876,1.851887211,2.012566832,2.347762523,1.345418173,0.507751622,1.58456545,2.044834977,2.2961881,1.862357498,1.024408626
2017/10/25,4.295969077,2.165964264,2.123704286,1.377707718,1.678100982,2.093485612,2.352341773,2.672517222,1.941880665,2.666231432,2.636610466,2.346526467,2.411847314,2.035211715,1.598064557,0.86203597,1.829982928,2.055800233,2.63984483,2.662291712,0.965476494
2017/10/26,3.915347126,2.76504159,2.751386041,1.800020534,1.746653491,2.477354198,1.180333729,1.744254107,2.443257508,1.713254467,2.002133281,2.886950869,2.883297479,2.161674393,2.721965941,0.919526926,2.948073441,1.990470604,2.431891403,1.904370437,1.601342731
